epoch,step,train_dsc,train_loss
0,49,0.8787631392478943,0.38260841369628906
0,99,0.8734637498855591,0.3182341754436493
0,149,0.8927171230316162,0.24203051626682281
0,199,0.8917992115020752,0.26309695839881897
0,249,0.8898400068283081,0.35263168811798096
0,299,0.9128975868225098,0.2902362048625946
0,349,0.8416937589645386,0.3984427750110626
0,399,0.9088304042816162,0.2905188798904419
0,449,0.8575557470321655,0.29367339611053467
0,499,0.8844965100288391,0.2967779338359833
0,549,0.8968057632446289,0.21718716621398926
0,599,0.909779965877533,0.3334193825721741
0,649,0.8881670236587524,0.24752531945705414
0,699,0.9113567471504211,0.2856604754924774
0,749,0.8985481262207031,0.2930254638195038
0,799,0.8562595844268799,0.35118427872657776
0,849,0.8351388573646545,0.3569183051586151
0,899,0.9069792628288269,0.28982847929000854
0,949,0.8773807883262634,0.39362627267837524
0,999,0.9023533463478088,0.20023316144943237
0,1049,0.882524311542511,0.23823103308677673
0,1099,0.9020241498947144,0.2696821391582489
0,1149,0.9095975160598755,0.37939780950546265
0,1199,0.8657545447349548,0.2597007155418396
0,1249,0.8666431307792664,0.33336666226387024
0,1299,0.9047736525535583,0.1996683031320572
0,1349,0.8701817393302917,0.29104873538017273
0,1399,0.8972598910331726,0.29542800784111023
0,1449,0.8665891885757446,0.2630281448364258
0,1499,0.8777313232421875,0.27580899000167847
0,1549,0.891393780708313,0.23154637217521667
0,1599,0.8760772347450256,0.3025280833244324
0,1649,0.8599433898925781,0.36118343472480774
0,1699,0.9122175574302673,0.32897236943244934
0,1749,0.8540857434272766,0.34235063195228577
0,1799,0.8874174952507019,0.30779844522476196
0,1849,0.9048458933830261,0.26410484313964844
0,1899,0.8904443383216858,0.35891440510749817
0,1949,0.9282219409942627,0.3275205194950104
0,1999,0.8754839897155762,0.31341445446014404
0,2049,0.8818165063858032,0.4132866859436035
0,2099,0.7993059158325195,0.47425803542137146
0,2149,0.9061512351036072,0.3605480194091797
0,2199,0.8871654868125916,0.33859413862228394
0,2249,0.9086835980415344,0.23428606986999512
0,2299,0.8944298028945923,0.23183561861515045
0,2349,0.8868696689605713,0.2781602442264557
0,2399,0.9024873375892639,0.30973803997039795
0,2449,0.9027866125106812,0.3129865825176239
0,2499,0.9155770540237427,0.18393254280090332
0,2549,0.8692588806152344,0.3121181130409241
0,2599,0.9113643169403076,0.2884884774684906
0,2649,0.9098905920982361,0.3577671945095062
0,2699,0.9137583374977112,0.22169455885887146
0,2749,0.9018533229827881,0.26914769411087036
0,2799,0.9069309234619141,0.3094259202480316
