epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459449768066406,0.5299232602119446,,,,
0,49,,,0.934293270111084,0.11803004145622253,,
0,49,,,,,0.7909868359565735,0.4110957980155945
1,99,,,0.9588521122932434,0.08354001492261887,,
1,99,,,,,0.7788207530975342,0.42806878685951233
2,149,,,0.9640502333641052,0.0720369890332222,,
2,149,,,,,0.7558069825172424,0.44955673813819885
3,199,,,0.9662206172943115,0.07636463642120361,,
3,199,,,,,0.7447226047515869,0.46349382400512695
4,249,,,0.971211314201355,0.08738775551319122,,
4,249,,,,,0.7461269497871399,0.469055712223053
5,299,,,0.9739301800727844,0.07011424005031586,,
5,299,,,,,0.7454968690872192,0.47609183192253113
6,349,,,0.9737749099731445,0.10884880274534225,,
6,349,,,,,0.7402692437171936,0.4889654517173767
7,399,,,0.9756076335906982,0.08105018734931946,,
7,399,,,,,0.7411221861839294,0.49322155117988586
8,449,,,0.9813016653060913,0.04085130617022514,,
8,449,,,,,0.7409012913703918,0.4958209693431854
9,499,,,0.9739068150520325,0.12754599750041962,,
9,499,,,,,0.7404210567474365,0.4985746443271637
10,549,,,0.9816434979438782,0.054621096700429916,,
10,549,,,,,0.7382152080535889,0.5009765625
11,599,,,0.9756415486335754,0.07446198910474777,,
11,599,,,,,0.7367798686027527,0.505256712436676
12,649,,,0.9878203272819519,0.04962532967329025,,
12,649,,,,,0.7326218485832214,0.5094623565673828
13,699,,,0.9828130602836609,0.07634466886520386,,
13,699,,,,,0.7337779402732849,0.5081400871276855
14,749,,,0.9841837286949158,0.06966717541217804,,
14,749,,,,,0.7326078414916992,0.5086660981178284
15,799,,,0.9832990765571594,0.05344385653734207,,
15,799,,,,,0.7321583032608032,0.5092851519584656
16,849,,,0.9886326789855957,0.033545274287462234,,
16,849,,,,,0.7330410480499268,0.5086431503295898
17,899,,,0.9818251729011536,0.1069854199886322,,
17,899,,,,,0.7338656187057495,0.508064866065979
18,949,,,0.9825100302696228,0.09130953997373581,,
18,949,,,,,0.7332726120948792,0.5088855028152466
19,999,,,0.9806413054466248,0.07729014754295349,,
19,999,,,,,0.733182966709137,0.5088274478912354
20,1049,,,0.988564670085907,0.04813464358448982,,
20,1049,,,,,0.7329694628715515,0.5089384317398071
21,1099,,,0.9800338745117188,0.05736050009727478,,
21,1099,,,,,0.7330405116081238,0.5089412927627563
