epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459470629692078,0.5299230813980103,,,,
0,49,,,nan,0.7500494122505188,,
0,49,,,,,0.0,1.1377229690551758
1,99,,,nan,0.7500109076499939,,
1,99,,,,,0.0,1.162198543548584
2,149,,,nan,0.7499606609344482,,
2,149,,,,,0.0,1.1895174980163574
3,199,,,nan,0.7486063838005066,,
3,199,,,,,0.0,1.2726587057113647
4,249,,,nan,0.4116668105125427,,
4,249,,,,,0.0,1.4433234930038452
5,299,,,nan,0.007239609956741333,,
5,299,,,,,0.0,1.4934804439544678
6,349,,,nan,0.0032322099432349205,,
6,349,,,,,0.0,1.5146355628967285
7,399,,,nan,0.003051422070711851,,
7,399,,,,,0.0,1.5158991813659668
8,449,,,nan,0.0029322165064513683,,
8,449,,,,,0.0,1.5169588327407837
9,499,,,nan,0.0028157364577054977,,
9,499,,,,,0.0,1.5181739330291748
10,549,,,nan,0.002682680729776621,,
10,549,,,,,0.0,1.519516110420227
11,599,,,nan,0.0025504338555037975,,
11,599,,,,,0.0,1.5208392143249512
12,649,,,nan,0.0024252133443951607,,
12,649,,,,,0.0,1.522192120552063
13,699,,,nan,0.002404474653303623,,
13,699,,,,,0.0,1.5223678350448608
14,749,,,nan,0.0024066176265478134,,
14,749,,,,,0.0,1.5225098133087158
15,799,,,nan,0.0023856209591031075,,
15,799,,,,,0.0,1.522651195526123
16,849,,,nan,0.002376213204115629,,
16,849,,,,,0.0,1.522821307182312
17,899,,,nan,0.002354747150093317,,
17,899,,,,,0.0,1.522935152053833
18,949,,,nan,0.0023458017967641354,,
18,949,,,,,0.0,1.5231168270111084
19,999,,,nan,0.0023508844897150993,,
19,999,,,,,0.0,1.52312171459198
20,1000,0.0,1.9805166721343994,,,,
