epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459506392478943,0.5299232602119446,,,,
0,49,,,0.8934704661369324,0.2941417396068573,,
0,49,,,,,0.8137117624282837,0.37212949991226196
1,99,,,0.935161292552948,0.231458380818367,,
1,99,,,,,0.8002280592918396,0.3845503032207489
2,149,,,0.9436216354370117,0.2134835571050644,,
2,149,,,,,0.7907986640930176,0.3923938274383545
3,199,,,0.9541539549827576,0.24946852028369904,,
3,199,,,,,0.7866239547729492,0.39706534147262573
4,249,,,0.9576172828674316,0.19765569269657135,,
4,249,,,,,0.7726441025733948,0.4173905551433563
5,299,,,0.9575220942497253,0.22154894471168518,,
5,299,,,,,0.7820537090301514,0.411537766456604
6,349,,,0.9610493779182434,0.20584073662757874,,
6,349,,,,,0.7687022686004639,0.42315027117729187
7,399,,,0.9751231670379639,0.18156369030475616,,
7,399,,,,,0.7765142321586609,0.4168710708618164
8,449,,,0.9694902896881104,0.22915637493133545,,
8,449,,,,,0.7752189040184021,0.41948452591896057
9,499,,,0.9685382843017578,0.21123944222927094,,
9,499,,,,,0.7732980847358704,0.42176353931427
10,500,0.7929550409317017,0.4783567190170288,,,,
