epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459471225738525,0.5299232602119446,,,,
0,49,,,0.8520660400390625,0.48229697346687317,,
0,49,,,,,0.8395064473152161,0.320847749710083
1,99,,,0.8656744360923767,0.43261101841926575,,
1,99,,,,,0.8316556811332703,0.32720398902893066
2,149,,,0.9005934000015259,0.3278324604034424,,
2,149,,,,,0.8148205280303955,0.3404969274997711
3,199,,,0.9104118347167969,0.3303721249103546,,
3,199,,,,,0.8296108841896057,0.3311365246772766
4,249,,,0.9058334231376648,0.3948915898799896,,
4,249,,,,,0.804818868637085,0.3493935167789459
5,299,,,0.931725800037384,0.3244381844997406,,
5,299,,,,,0.8000756502151489,0.3559640347957611
6,349,,,0.9181777238845825,0.3445781469345093,,
6,349,,,,,0.8176248669624329,0.3433813750743866
7,399,,,0.9287412166595459,0.3157346546649933,,
7,399,,,,,0.8017178773880005,0.35227900743484497
8,449,,,0.9467860460281372,0.27395668625831604,,
8,449,,,,,0.7966070771217346,0.35563403367996216
9,499,,,0.9397236704826355,0.397504061460495,,
9,499,,,,,0.7985963821411133,0.35482004284858704
10,500,0.8226978182792664,0.43301883339881897,,,,
