epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459471225738525,0.5299230813980103,,,,
0,49,,,0.8880340456962585,0.35495421290397644,,
0,49,,,,,0.7969642281532288,0.37115612626075745
1,99,,,0.9007682204246521,0.45204734802246094,,
1,99,,,,,0.7284713387489319,0.410308301448822
2,149,,,0.8743528127670288,0.38713908195495605,,
2,149,,,,,0.7522599101066589,0.39715564250946045
3,199,,,0.8853201270103455,0.4305818974971771,,
3,199,,,,,0.7786930203437805,0.3795508146286011
4,249,,,0.9162847399711609,0.34915393590927124,,
4,249,,,,,0.7631113529205322,0.3909371495246887
5,299,,,0.9170439839363098,0.34397199749946594,,
5,299,,,,,0.7274205088615417,0.41554543375968933
6,349,,,0.9245923757553101,0.3811953365802765,,
6,349,,,,,0.7053970694541931,0.4305611252784729
7,399,,,0.9224527478218079,0.42780986428260803,,
7,399,,,,,0.7090829014778137,0.42882513999938965
8,449,,,0.95550537109375,0.39356014132499695,,
8,449,,,,,0.7155320644378662,0.42523953318595886
9,499,,,0.9386549592018127,0.3874489367008209,,
9,499,,,,,0.6939830780029297,0.4406009316444397
10,549,,,0.9478752613067627,0.2803100645542145,,
10,549,,,,,0.7170354723930359,0.42491358518600464
11,599,,,0.9488485455513,0.3133908212184906,,
11,599,,,,,0.6987959146499634,0.43797600269317627
12,649,,,0.9402593374252319,0.33797487616539,,
12,649,,,,,0.7033523321151733,0.4336860775947571
13,699,,,0.9289020299911499,0.3813502788543701,,
13,699,,,,,0.7007200121879578,0.4361456632614136
14,749,,,0.9344069957733154,0.35345834493637085,,
14,749,,,,,0.7008156776428223,0.43624147772789
15,799,,,0.9442883133888245,0.28984078764915466,,
15,799,,,,,0.7056416869163513,0.43344491720199585
16,849,,,0.94731605052948,0.35281801223754883,,
16,849,,,,,0.6933408379554749,0.4412807822227478
17,899,,,0.9399443864822388,0.40182623267173767,,
17,899,,,,,0.697267472743988,0.43866726756095886
18,949,,,0.9438291192054749,0.27333754301071167,,
18,949,,,,,0.6995747685432434,0.43742164969444275
19,999,,,0.9457945823669434,0.3922119140625,,
19,999,,,,,0.6996898055076599,0.43737122416496277
20,1049,,,0.9497309923171997,0.31753528118133545,,
20,1049,,,,,0.6996166706085205,0.4374483823776245
21,1099,,,0.9581354260444641,0.3884400725364685,,
21,1099,,,,,0.6996397376060486,0.43740999698638916
22,1149,,,0.9495999217033386,0.24034461379051208,,
22,1149,,,,,0.7012903690338135,0.4364301562309265
23,1199,,,0.9437379837036133,0.3844660818576813,,
23,1199,,,,,0.7015835046768188,0.43632760643959045
24,1249,,,0.9567934274673462,0.3322147727012634,,
