epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,49,,,0.1414407640695572,1.3167129755020142,,
0,49,,,,,0.13406936824321747,1.308462142944336
1,99,,,0.21575142443180084,0.9587631225585938,,
1,99,,,,,0.23956696689128876,0.9564599394798279
2,149,,,0.270055890083313,0.8443782329559326,,
2,149,,,,,0.2623802423477173,0.8479031324386597
3,199,,,0.318684846162796,0.7773339152336121,,
3,199,,,,,0.3396761417388916,0.7741386294364929
4,249,,,0.4370388090610504,0.728158712387085,,
4,249,,,,,0.4131868779659271,0.7319519519805908
5,299,,,0.5248434543609619,0.6525931358337402,,
5,299,,,,,0.5684447884559631,0.6876924633979797
6,349,,,0.6305163502693176,0.5871416330337524,,
6,349,,,,,0.5924067497253418,0.6127504706382751
7,399,,,0.724722146987915,0.5529025793075562,,
7,399,,,,,0.6984711289405823,0.5573108196258545
8,449,,,0.7948367595672607,0.4156213700771332,,
8,449,,,,,0.7470514178276062,0.508060097694397
9,499,,,0.7728582620620728,0.5086780190467834,,
9,499,,,,,0.741088330745697,0.4838707745075226
10,549,,,0.7990151643753052,0.4319457411766052,,
10,549,,,,,0.7337559461593628,0.4734138250350952
11,599,,,0.8381214141845703,0.34657639265060425,,
11,599,,,,,0.7688536047935486,0.45014744997024536
12,649,,,0.8020071387290955,0.46573853492736816,,
12,649,,,,,0.7804569602012634,0.43556803464889526
13,699,,,0.801177978515625,0.3344939649105072,,
13,699,,,,,0.8024406433105469,0.4237835109233856
14,749,,,0.835432231426239,0.48095765709877014,,
14,749,,,,,0.8062590956687927,0.4168083965778351
15,799,,,0.8096956610679626,0.4354592561721802,,
15,799,,,,,0.8159289360046387,0.41032132506370544
16,849,,,0.8857688903808594,0.35616931319236755,,
16,849,,,,,0.8141014575958252,0.40566715598106384
17,899,,,0.8114137053489685,0.365654855966568,,
17,899,,,,,0.806329071521759,0.40657079219818115
18,949,,,0.8561338782310486,0.3902876675128937,,
18,949,,,,,0.8010128736495972,0.41541191935539246
19,999,,,0.8652059435844421,0.34989938139915466,,
19,999,,,,,0.816486656665802,0.40097323060035706
20,1049,,,0.8486818075180054,0.32048550248146057,,
20,1049,,,,,0.8242079019546509,0.39188051223754883
21,1099,,,0.8804392218589783,0.41319146752357483,,
21,1099,,,,,0.8252937197685242,0.39712125062942505
22,1149,,,0.8062261939048767,0.3685277998447418,,
22,1149,,,,,0.8059712648391724,0.39984095096588135
23,1199,,,0.8463812470436096,0.31332820653915405,,
23,1199,,,,,0.8305861353874207,0.39822694659233093
24,1249,,,0.8476139903068542,0.3967045843601227,,
24,1249,,,,,0.8303717970848083,0.38646936416625977
25,1299,,,0.8662109375,0.3642042875289917,,
25,1299,,,,,0.8349720239639282,0.38048866391181946
26,1349,,,0.8727301955223083,0.3653790056705475,,
26,1349,,,,,0.8475908637046814,0.37302473187446594
27,1399,,,0.8716002702713013,0.32340580224990845,,
27,1399,,,,,0.8303818702697754,0.3957836329936981
28,1449,,,0.7785249948501587,0.45218273997306824,,
28,1449,,,,,0.8415771126747131,0.38208478689193726
29,1499,,,0.8848249912261963,0.3476707935333252,,
29,1499,,,,,0.845022439956665,0.3760966658592224
30,1549,,,0.8869377970695496,0.3088546693325043,,
30,1549,,,,,0.8554743528366089,0.37460246682167053
31,1599,,,0.8626972436904907,0.335043340921402,,
31,1599,,,,,0.8532951474189758,0.3683164417743683
32,1649,,,0.8396509885787964,0.2940453886985779,,
32,1649,,,,,0.8497774004936218,0.37550249695777893
33,1699,,,0.8892310857772827,0.3619196116924286,,
33,1699,,,,,0.8256090879440308,0.38502758741378784
34,1749,,,0.889261782169342,0.35069435834884644,,
34,1749,,,,,0.8465011715888977,0.3727908134460449
35,1799,,,0.8679468631744385,0.25719892978668213,,
35,1799,,,,,0.8472245931625366,0.3719933032989502
36,1849,,,0.8742031455039978,0.24953727424144745,,
36,1849,,,,,0.8534954190254211,0.3658013939857483
37,1899,,,0.855772852897644,0.31077930331230164,,
37,1899,,,,,0.8484421372413635,0.3710710108280182
38,1949,,,0.8632220029830933,0.44708165526390076,,
38,1949,,,,,0.850050151348114,0.37623754143714905
39,1999,,,0.8727357983589172,0.35998812317848206,,
39,1999,,,,,0.8574467301368713,0.3647654950618744
40,2049,,,0.8618000149726868,0.32134613394737244,,
40,2049,,,,,0.8496626615524292,0.3699234426021576
41,2099,,,0.8569991588592529,0.33991312980651855,,
41,2099,,,,,0.8586491942405701,0.3663335144519806
42,2149,,,0.9037549495697021,0.2966179847717285,,
42,2149,,,,,0.8556855320930481,0.36125513911247253
43,2199,,,0.89738929271698,0.36829838156700134,,
43,2199,,,,,0.8612239360809326,0.36374613642692566
44,2249,,,0.8541138768196106,0.28547966480255127,,
44,2249,,,,,0.852320671081543,0.3689769208431244
45,2299,,,0.8519182801246643,0.2775081396102905,,
45,2299,,,,,0.8357309699058533,0.3726106286048889
46,2349,,,0.9004972577095032,0.28658807277679443,,
46,2349,,,,,0.8658960461616516,0.36629077792167664
47,2399,,,0.8815165758132935,0.3301057517528534,,
47,2399,,,,,0.8627797365188599,0.36010634899139404
48,2449,,,0.8989706635475159,0.30036768317222595,,
48,2449,,,,,0.8728921413421631,0.3580530285835266
49,2499,,,0.8591130971908569,0.35431429743766785,,
49,2499,,,,,0.8681987524032593,0.3607185184955597
50,2549,,,0.8860157132148743,0.29000774025917053,,
50,2549,,,,,0.855096697807312,0.3627374768257141
51,2599,,,0.8474684357643127,0.3326297998428345,,
51,2599,,,,,0.8621817231178284,0.36556005477905273
52,2649,,,0.8507097363471985,0.3602237403392792,,
52,2649,,,,,0.8654255270957947,0.36067304015159607
53,2699,,,0.9076120853424072,0.32844844460487366,,
53,2699,,,,,0.8628027439117432,0.3568853437900543
54,2749,,,0.8782651424407959,0.3397311866283417,,
54,2749,,,,,0.8526166677474976,0.3738928735256195
55,2799,,,0.8869702816009521,0.3162461519241333,,
55,2799,,,,,0.8680347800254822,0.35428518056869507
56,2849,,,0.8840517997741699,0.3222856819629669,,
56,2849,,,,,0.8786914348602295,0.3528074324131012
57,2899,,,0.8737766146659851,0.36288386583328247,,
57,2899,,,,,0.8692193031311035,0.35465601086616516
58,2949,,,0.8705019354820251,0.4440745711326599,,
58,2949,,,,,0.8723718523979187,0.3541136085987091
59,2999,,,0.8836953043937683,0.29196488857269287,,
59,2999,,,,,0.8653900623321533,0.35800740122795105
60,3049,,,0.8693253993988037,0.31217026710510254,,
60,3049,,,,,0.8667985796928406,0.3574844300746918
61,3099,,,0.8901278972625732,0.2526630759239197,,
61,3099,,,,,0.867205023765564,0.3644169270992279
62,3149,,,0.9016772508621216,0.33962953090667725,,
62,3149,,,,,0.8513663411140442,0.36368685960769653
63,3199,,,0.8928467631340027,0.3150878846645355,,
63,3199,,,,,0.876653790473938,0.3495449721813202
64,3249,,,0.8741404414176941,0.2954377830028534,,
64,3249,,,,,0.8797999024391174,0.34824812412261963
65,3299,,,0.8761364221572876,0.3425478935241699,,
65,3299,,,,,0.8794447183609009,0.3467922508716583
66,3349,,,0.8824047446250916,0.29697445034980774,,
66,3349,,,,,0.880789041519165,0.34691664576530457
67,3399,,,0.8763306736946106,0.3126973509788513,,
67,3399,,,,,0.8764523863792419,0.34742867946624756
68,3449,,,0.9020395874977112,0.2363385409116745,,
68,3449,,,,,0.8827584981918335,0.34661194682121277
69,3499,,,0.9007108211517334,0.3104441463947296,,
69,3499,,,,,0.8824350833892822,0.3462396264076233
70,3549,,,0.8612971305847168,0.38344135880470276,,
70,3549,,,,,0.8820215463638306,0.3455655574798584
71,3599,,,0.9080368280410767,0.2423306107521057,,
71,3599,,,,,0.8808724880218506,0.34558776021003723
72,3649,,,0.8846014142036438,0.3872462511062622,,
72,3649,,,,,0.8789271116256714,0.3455810546875
73,3699,,,0.8818028569221497,0.2653651237487793,,
73,3699,,,,,0.8768638968467712,0.3468175530433655
74,3749,,,0.9273382425308228,0.3921399414539337,,
74,3749,,,,,0.8849176168441772,0.34309121966362
75,3799,,,0.9097692370414734,0.27612680196762085,,
75,3799,,,,,0.8839269280433655,0.3443279266357422
76,3849,,,0.8771023750305176,0.3103645145893097,,
76,3849,,,,,0.884077250957489,0.3438012897968292
77,3899,,,0.8912927508354187,0.3216904401779175,,
77,3899,,,,,0.8835083246231079,0.3437618613243103
78,3949,,,0.8788772821426392,0.2570573687553406,,
78,3949,,,,,0.8811851739883423,0.34468045830726624
79,3999,,,0.9097983837127686,0.29650118947029114,,
79,3999,,,,,0.8860401511192322,0.34522300958633423
80,4049,,,0.8833577036857605,0.2922723889350891,,
80,4049,,,,,0.8855689764022827,0.3434922993183136
81,4099,,,0.9303328990936279,0.23258936405181885,,
81,4099,,,,,0.8866323232650757,0.3429258167743683
82,4149,,,0.8873586058616638,0.30935215950012207,,
82,4149,,,,,0.8866242170333862,0.34227949380874634
83,4199,,,0.8816289901733398,0.3132157623767853,,
83,4199,,,,,0.886431097984314,0.34225377440452576
84,4249,,,0.9280725717544556,0.32522818446159363,,
84,4249,,,,,0.8869742155075073,0.3422868549823761
85,4299,,,0.9066479802131653,0.3324335515499115,,
85,4299,,,,,0.8859244585037231,0.34220007061958313
86,4349,,,0.8874276280403137,0.3630020022392273,,
86,4349,,,,,0.8867494463920593,0.34219521284103394
87,4399,,,0.8696767687797546,0.3324759304523468,,
