epoch,step,train_dsc,train_loss,val_dsc,val_loss
0,9,0.823945164680481,0.34691116213798523,,
0,19,0.8782967925071716,0.3634814918041229,,
0,29,0.8956713676452637,0.3279085159301758,,
0,39,0.8519443273544312,0.3394591510295868,,
0,49,0.89324551820755,0.3427366614341736,,
0,49,,,0.869979202747345,0.33755695819854736
1,59,0.8826364278793335,0.26356014609336853,,
1,69,0.8279822468757629,0.30861854553222656,,
1,79,0.9083728194236755,0.16881650686264038,,
1,89,0.8919833302497864,0.2927563488483429,,
1,99,0.8654476404190063,0.3346591591835022,,
1,99,,,0.8835383057594299,0.3354249894618988
2,109,0.8659802079200745,0.42407721281051636,,
2,119,0.8378779292106628,0.3761531412601471,,
2,129,0.8359120488166809,0.29449450969696045,,
2,139,0.9143573641777039,0.31539076566696167,,
2,149,0.8668489456176758,0.313495934009552,,
2,149,,,0.8714592456817627,0.33875176310539246
3,159,0.8980515003204346,0.27806544303894043,,
3,169,0.8673542141914368,0.34720373153686523,,
3,179,0.8782593011856079,0.3092232942581177,,
3,189,0.8966550230979919,0.24673612415790558,,
3,199,0.8977888822555542,0.25221261382102966,,
3,199,,,0.8715492486953735,0.34070754051208496
4,209,0.8907033205032349,0.30098021030426025,,
4,219,0.8755183815956116,0.36882656812667847,,
4,229,0.8804354071617126,0.43691784143447876,,
4,239,0.8484969139099121,0.36063581705093384,,
4,249,0.8553064465522766,0.42457881569862366,,
4,249,,,0.8794062733650208,0.33583539724349976
5,259,0.8619716167449951,0.32646042108535767,,
5,269,0.8413713574409485,0.3321704864501953,,
5,279,0.857322096824646,0.4172283113002777,,
5,289,0.891007661819458,0.37604790925979614,,
5,299,0.8665632009506226,0.3823350965976715,,
5,299,,,0.8682043552398682,0.3375435471534729
6,309,0.8848315477371216,0.3319324851036072,,
6,319,0.8736117482185364,0.266340047121048,,
6,329,0.8638893365859985,0.24395205080509186,,
6,339,0.8666898012161255,0.26340779662132263,,
6,349,0.8352129459381104,0.39033207297325134,,
6,349,,,0.8518439531326294,0.3500426709651947
7,359,0.8904691934585571,0.3815070390701294,,
7,369,0.8642933964729309,0.385955810546875,,
7,379,0.855341911315918,0.3429320752620697,,
7,389,0.8333770632743835,0.3212217092514038,,
7,399,0.8795392513275146,0.3213081359863281,,
7,399,,,0.8728402256965637,0.34454384446144104
8,409,0.849380612373352,0.35165494680404663,,
8,419,0.8571090698242188,0.3138013482093811,,
8,429,0.8847891092300415,0.400268018245697,,
8,439,0.9042678475379944,0.2669541537761688,,
8,449,0.8596897721290588,0.38388416171073914,,
8,449,,,0.8870728015899658,0.32883551716804504
9,459,0.8790699243545532,0.3894604444503784,,
9,469,0.9038084149360657,0.2501490116119385,,
9,479,0.9051809906959534,0.29587218165397644,,
9,489,0.8799057006835938,0.3441522717475891,,
9,499,0.8971052765846252,0.31315264105796814,,
9,499,,,0.8896647095680237,0.3278815448284149
10,509,0.8760358691215515,0.30753234028816223,,
10,519,0.8625683784484863,0.3368402123451233,,
10,529,0.9012247920036316,0.2723589837551117,,
10,539,0.8569889664649963,0.4094858169555664,,
10,549,0.8857709169387817,0.22659924626350403,,
10,549,,,0.8914671540260315,0.3253310024738312
11,559,0.9169799089431763,0.25754183530807495,,
11,569,0.878891110420227,0.33958250284194946,,
11,579,0.8881704211235046,0.3412109911441803,,
11,589,0.9000781774520874,0.3842753469944,,
11,599,0.8426169157028198,0.26886633038520813,,
11,599,,,0.889589786529541,0.32453763484954834
12,609,0.8468024730682373,0.36614885926246643,,
12,619,0.8483055233955383,0.37894272804260254,,
12,629,0.8907715678215027,0.24910661578178406,,
12,639,0.8831885457038879,0.2328859269618988,,
12,649,0.8700805902481079,0.38653364777565,,
12,649,,,0.8940220475196838,0.32320618629455566
13,659,0.890405535697937,0.3522091805934906,,
13,669,0.9023188948631287,0.2567299008369446,,
13,679,0.9144690632820129,0.30972909927368164,,
13,689,0.8947733044624329,0.2572930157184601,,
13,699,0.9136325120925903,0.27553442120552063,,
13,699,,,0.8933950066566467,0.3224541246891022
14,709,0.9213333129882812,0.2870045006275177,,
14,719,0.8751251101493835,0.38826340436935425,,
14,729,0.9003565311431885,0.17829594016075134,,
14,739,0.907768189907074,0.31541427969932556,,
14,749,0.9196435809135437,0.31905046105384827,,
14,749,,,0.8953967690467834,0.3233563005924225
15,759,0.8895986080169678,0.2884563207626343,,
15,769,0.8784055709838867,0.2939487397670746,,
15,779,0.9180002212524414,0.2817843556404114,,
15,789,0.907121479511261,0.2384786158800125,,
15,799,0.8940178155899048,0.3708939850330353,,
15,799,,,0.8960251212120056,0.3218051791191101
16,809,0.90958571434021,0.30809086561203003,,
16,819,0.9117797017097473,0.29069066047668457,,
16,829,0.8988425135612488,0.21897411346435547,,
