epoch,step,train_dsc,train_loss,val_dsc,val_loss
16,839,0.8693563938140869,0.30619508028030396,,
16,849,0.8945034742355347,0.35817620158195496,,
16,849,,,0.894309401512146,0.32517775893211365
17,859,0.8909339308738708,0.3076167106628418,,
17,869,0.9033934473991394,0.3069406747817993,,
17,879,0.8770588040351868,0.36167967319488525,,
17,889,0.9001832008361816,0.31073689460754395,,
17,899,0.8939999938011169,0.39447468519210815,,
17,899,,,0.8943555951118469,0.32187962532043457
18,909,0.9054906964302063,0.26252853870391846,,
18,919,0.8958860039710999,0.34874409437179565,,
18,929,0.8938218355178833,0.22883330285549164,,
18,939,0.8606010675430298,0.3255425989627838,,
18,949,0.8926761746406555,0.2944328188896179,,
18,949,,,0.8957527875900269,0.32264113426208496
19,959,0.8829046487808228,0.25458207726478577,,
19,969,0.8981037139892578,0.314887672662735,,
19,979,0.9144139885902405,0.257954865694046,,
19,989,0.9031521081924438,0.323662132024765,,
19,999,0.9015219211578369,0.2914234399795532,,
19,999,,,0.8941298723220825,0.3238728642463684
20,1009,0.8699030876159668,0.24696750938892365,,
20,1019,0.9180454015731812,0.17494884133338928,,
20,1029,0.9010412693023682,0.3593798875808716,,
20,1039,0.9280650615692139,0.38819512724876404,,
20,1049,0.889021098613739,0.30780380964279175,,
20,1049,,,0.8950547575950623,0.3225950300693512
21,1059,0.888963520526886,0.3322342336177826,,
21,1069,0.8683537840843201,0.3393348157405853,,
