epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459441423416138,0.529923141002655,,,,
0,49,,,0.9476338028907776,0.2888503670692444,,
0,49,,,,,0.6656008362770081,0.5118570327758789
1,99,,,0.9716615080833435,0.26584795117378235,,
1,99,,,,,0.6887940764427185,0.5041090250015259
2,149,,,0.9720364212989807,0.255596399307251,,
2,149,,,,,0.6771141290664673,0.5312574505805969
3,199,,,0.9621741771697998,0.34335532784461975,,
3,199,,,,,0.6842381954193115,0.533316969871521
4,249,,,0.9773113131523132,0.327094167470932,,
4,249,,,,,0.6541804075241089,0.5725448727607727
5,299,,,0.9771897196769714,0.281119167804718,,
5,299,,,,,0.6609039902687073,0.5748462677001953
6,349,,,0.9738966822624207,0.3286237120628357,,
6,349,,,,,0.6440824270248413,0.600373387336731
7,399,,,0.9716110229492188,0.29104068875312805,,
7,399,,,,,0.647541344165802,0.6082971692085266
8,449,,,0.9804747700691223,0.248709037899971,,
8,449,,,,,0.6397625803947449,0.6241509318351746
9,499,,,0.9864023327827454,0.29935306310653687,,
9,499,,,,,0.6382827758789062,0.6296573877334595
10,549,,,0.9801961779594421,0.29451069235801697,,
10,549,,,,,0.6407440304756165,0.6312671899795532
11,599,,,0.9887666702270508,0.23671020567417145,,
11,599,,,,,0.6364268660545349,0.6362850666046143
12,649,,,0.9839320182800293,0.28529471158981323,,
12,649,,,,,0.6447933912277222,0.6299173831939697
13,699,,,0.9871980547904968,0.3136541247367859,,
13,699,,,,,0.6408776044845581,0.6374951004981995
14,749,,,0.9854065775871277,0.284280002117157,,
14,749,,,,,0.6379876732826233,0.6406013369560242
15,799,,,0.9883828163146973,0.23665381968021393,,
15,799,,,,,0.6362450122833252,0.6425210237503052
16,849,,,0.9805473685264587,0.2721916139125824,,
16,849,,,,,0.6376185417175293,0.6408093571662903
17,899,,,0.9829404354095459,0.2325001358985901,,
17,899,,,,,0.6361644268035889,0.6423717737197876
18,949,,,0.9877634048461914,0.32126250863075256,,
18,949,,,,,0.6356828808784485,0.6431905031204224
19,999,,,0.9862282276153564,0.19197948276996613,,
19,999,,,,,0.6357871890068054,0.6428932547569275
20,1000,0.4885789453983307,1.0929155349731445,,,,
