epoch,step,test_dsc,test_loss,train_dsc,train_loss
0,0,0.7459720373153687,0.5298864841461182,,
0,49,,,nan,0.7500466704368591
0,99,,,nan,0.7500087022781372
0,149,,,nan,0.7499615550041199
0,199,,,nan,0.7490415573120117
0,249,,,nan,0.437472939491272
0,299,,,nan,0.006729698274284601
0,349,,,nan,0.0034021828323602676
0,399,,,nan,0.0022872607223689556
0,449,,,nan,0.0016887807287275791
0,499,,,nan,0.0013584033586084843
0,549,,,nan,0.001098516397178173
0,599,,,nan,0.00092721963301301
0,649,,,nan,0.0007955706678330898
0,699,,,nan,0.0006749075837433338
0,749,,,nan,0.0005985833704471588
0,799,,,nan,0.0005316035822033882
0,849,,,nan,0.00046484312042593956
0,899,,,nan,0.0004278779961168766
0,949,,,nan,0.0003822771832346916
0,999,,,nan,0.0003539831377565861
0,1049,,,nan,0.00032544834539294243
0,1099,,,nan,0.0003008507192134857
0,1149,,,nan,0.0002752672880887985
0,1199,,,nan,0.000253407284617424
0,1249,,,nan,0.00023199990391731262
0,1299,,,nan,0.00021674390882253647
0,1349,,,nan,0.00020066974684596062
0,1399,,,nan,0.0001871483400464058
0,1449,,,nan,0.00017353519797325134
0,1499,,,nan,0.00016610650345683098
0,1549,,,nan,0.00015352945774793625
0,1599,,,nan,0.00014750752598047256
0,1649,,,nan,0.0001349099911749363
0,1699,,,nan,0.00013050716370344162
0,1749,,,nan,0.00012271897867321968
0,1799,,,nan,0.00011526979506015778
0,1849,,,nan,0.00011044926941394806
0,1899,,,nan,0.00010704947635531425
0,1949,,,nan,9.903265163302422e-05
0,1999,,,nan,9.603751823306084e-05
0,2049,,,nan,8.937250822782516e-05
0,2099,,,nan,8.625444024801254e-05
0,2149,,,nan,8.345255628228188e-05
0,2199,,,nan,8.105486631393433e-05
0,2249,,,nan,7.550790905952454e-05
0,2299,,,nan,7.253000512719154e-05
0,2349,,,nan,6.881030276417732e-05
0,2399,,,nan,6.466032937169075e-05
0,2449,,,nan,6.320280954241753e-05
0,2499,,,nan,6.081489846110344e-05
0,2549,,,nan,5.689915269613266e-05
0,2599,,,nan,5.584722384810448e-05
0,2649,,,nan,5.534663796424866e-05
0,2699,,,nan,5.098525434732437e-05
0,2749,,,nan,4.8663467168807983e-05
0,2799,,,nan,4.694238305091858e-05
0,2849,,,nan,4.581548273563385e-05
0,2899,,,nan,4.3081119656562805e-05
0,2949,,,nan,4.21600416302681e-05
0,2999,,,nan,4.057120531797409e-05
0,3049,,,nan,3.9037782698869705e-05
0,3099,,,nan,3.742566332221031e-05
0,3149,,,nan,3.667781129479408e-05
0,3199,,,nan,3.44226136803627e-05
