epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459486722946167,0.5299232602119446,,,,
0,49,,,0.887006402015686,0.31378623843193054,,
0,49,,,,,0.8393455147743225,0.35899341106414795
1,99,,,0.9142134785652161,0.30348533391952515,,
1,99,,,,,0.8272935748100281,0.37022924423217773
2,149,,,0.9234573245048523,0.4201263189315796,,
2,149,,,,,0.8114330172538757,0.37854865193367004
3,199,,,0.9469865560531616,0.26068490743637085,,
3,199,,,,,0.8047690391540527,0.3868560492992401
4,249,,,0.9416080117225647,0.3055424392223358,,
4,249,,,,,0.7991530299186707,0.39333420991897583
5,299,,,0.946089506149292,0.2991659939289093,,
5,299,,,,,0.8093406558036804,0.38366633653640747
6,349,,,0.9503500461578369,0.17630286514759064,,
6,349,,,,,0.8112272620201111,0.38785305619239807
7,399,,,0.9545969367027283,0.24598149955272675,,
7,399,,,,,0.8040406107902527,0.3914130926132202
8,449,,,0.9560927152633667,0.2331610471010208,,
8,449,,,,,0.8065513968467712,0.39043980836868286
9,499,,,0.9474567174911499,0.28747114539146423,,
9,499,,,,,0.8036532402038574,0.3912592828273773
10,549,,,0.9413120150566101,0.4032529592514038,,
10,549,,,,,0.8045390844345093,0.39396172761917114
11,599,,,0.9575111269950867,0.3178303837776184,,
11,599,,,,,0.8038397431373596,0.3932214081287384
12,649,,,0.9716554880142212,0.2835979461669922,,
12,649,,,,,0.8040733933448792,0.39351221919059753
13,699,,,0.9577369689941406,0.20927852392196655,,
13,699,,,,,0.8034642338752747,0.39409759640693665
14,749,,,0.9639285206794739,0.3456815779209137,,
14,749,,,,,0.8046579957008362,0.3930225670337677
15,799,,,0.9675068855285645,0.26177623867988586,,
15,799,,,,,0.8039453029632568,0.3935285806655884
16,849,,,0.9569450616836548,0.33549439907073975,,
16,849,,,,,0.8046478629112244,0.39318186044692993
17,899,,,0.9578023552894592,0.2147020399570465,,
17,899,,,,,0.8029242157936096,0.39417311549186707
18,949,,,0.946745753288269,0.2711799144744873,,
18,949,,,,,0.8035567998886108,0.39369702339172363
19,999,,,0.9696879386901855,0.24562373757362366,,
19,999,,,,,0.8034524321556091,0.3938065767288208
20,1000,0.793465256690979,0.4503350555896759,,,,
