epoch,step,test_dsc,test_loss,train_dsc,train_loss,val_dsc,val_loss
0,0,0.7459478974342346,0.5299232006072998,,,,
0,49,,,0.8629166483879089,0.29240527749061584,,
0,49,,,,,0.8335897326469421,0.3449519872665405
1,99,,,0.9046021699905396,0.26323986053466797,,
1,99,,,,,0.8351407051086426,0.34968775510787964
2,149,,,0.9173219203948975,0.23134711384773254,,
2,149,,,,,0.816152036190033,0.361017107963562
3,199,,,0.9189146757125854,0.2993334233760834,,
3,199,,,,,0.781028687953949,0.3800448775291443
4,249,,,0.9044670462608337,0.30288389325141907,,
4,249,,,,,0.768629789352417,0.3908655345439911
5,299,,,0.9176353812217712,0.28756043314933777,,
5,299,,,,,0.7942962050437927,0.37345606088638306
6,349,,,0.9157580137252808,0.231764018535614,,
6,349,,,,,0.7937560081481934,0.3784138262271881
7,399,,,0.9388610124588013,0.14236511290073395,,
7,399,,,,,0.8077660202980042,0.3668006956577301
8,449,,,0.9510654211044312,0.2683752775192261,,
8,449,,,,,0.8066705465316772,0.36902689933776855
9,499,,,0.9525593519210815,0.281321257352829,,
9,499,,,,,0.7989568710327148,0.37294259667396545
10,549,,,0.9521808624267578,0.20390495657920837,,
10,549,,,,,0.808393120765686,0.36788210272789
11,599,,,0.9427340030670166,0.2506621181964874,,
11,599,,,,,0.7973079681396484,0.3748021125793457
12,649,,,0.9423891305923462,0.1323397010564804,,
12,649,,,,,0.7999899387359619,0.37411099672317505
13,699,,,0.9365668892860413,0.2114378809928894,,
13,699,,,,,0.7999900579452515,0.3740713894367218
14,749,,,0.943742036819458,0.30389824509620667,,
14,749,,,,,0.7985935807228088,0.3749712407588959
15,799,,,0.9517620205879211,0.30166688561439514,,
15,799,,,,,0.797782838344574,0.37535998225212097
16,849,,,0.9522895812988281,0.20214223861694336,,
16,849,,,,,0.7979903817176819,0.37538254261016846
17,899,,,0.9438549876213074,0.1398184448480606,,
17,899,,,,,0.797423243522644,0.3756055533885956
18,949,,,0.9503903388977051,0.26819345355033875,,
18,949,,,,,0.798687756061554,0.37474536895751953
19,999,,,0.9300578236579895,0.31363219022750854,,
19,999,,,,,0.7986155152320862,0.37483733892440796
20,1049,,,0.948036789894104,0.3281451165676117,,
20,1049,,,,,0.7982349991798401,0.3751237094402313
21,1099,,,0.9519293904304504,0.19405728578567505,,
21,1099,,,,,0.7976033091545105,0.3755708634853363
22,1149,,,0.9427318572998047,0.23023056983947754,,
22,1149,,,,,0.7968739867210388,0.37601399421691895
23,1199,,,0.9406657218933105,0.190873920917511,,
23,1199,,,,,0.7968817949295044,0.37606653571128845
24,1249,,,0.9428277015686035,0.24493572115898132,,
24,1249,,,,,0.7966029644012451,0.3762218952178955
25,1299,,,0.9544927477836609,0.24987216293811798,,
25,1299,,,,,0.7966254353523254,0.37622785568237305
26,1349,,,0.9617446660995483,0.20097728073596954,,
26,1349,,,,,0.7965251207351685,0.3762863874435425
27,1399,,,0.951777994632721,0.2231745421886444,,
27,1399,,,,,0.7965062260627747,0.376294881105423
28,1449,,,0.9508461952209473,0.2386699765920639,,
28,1449,,,,,0.7965334057807922,0.3762998580932617
29,1499,,,0.9353216886520386,0.230689138174057,,
29,1499,,,,,0.7965461015701294,0.37628892064094543
30,1549,,,0.9508033990859985,0.16596288979053497,,
30,1549,,,,,0.7965927124023438,0.3762766122817993
31,1599,,,0.9436985850334167,0.22353094816207886,,
31,1599,,,,,0.7965756058692932,0.37627774477005005
32,1649,,,0.949252188205719,0.18786700069904327,,
32,1649,,,,,0.7965921759605408,0.3762722313404083
33,1699,,,0.9479217529296875,0.23333114385604858,,
33,1699,,,,,0.7965813875198364,0.37627604603767395
34,1749,,,0.9505423307418823,0.2633633613586426,,
34,1749,,,,,0.7966117262840271,0.3762759268283844
35,1799,,,0.9516597390174866,0.21237042546272278,,
35,1799,,,,,0.7965809106826782,0.3762803375720978
36,1849,,,0.948124349117279,0.3067658543586731,,
36,1849,,,,,0.7965929508209229,0.3762787878513336
37,1899,,,0.9313744902610779,0.1458088904619217,,
37,1899,,,,,0.7965593338012695,0.37628600001335144
38,1949,,,0.950367271900177,0.2220335602760315,,
38,1949,,,,,0.7966046929359436,0.37628042697906494
39,1999,,,0.9572460651397705,0.1986508071422577,,
39,1999,,,,,0.7965777516365051,0.37628379464149475
