epoch,step,train_dsc,train_loss,val_dsc,val_loss
0,49,0.19143866002559662,1.2849607467651367,,
0,49,,,0.17598223686218262,1.2720838785171509
1,99,0.13642995059490204,0.9422176480293274,,
1,99,,,0.12110714614391327,0.9403901696205139
2,149,0.2896934747695923,0.81465083360672,,
2,149,,,0.2815013825893402,0.8102298378944397
3,199,0.45583242177963257,0.7500230669975281,,
3,199,,,0.3766492009162903,0.7469667196273804
4,249,0.5228296518325806,0.6908404231071472,,
4,249,,,0.5253604650497437,0.683192253112793
5,299,0.6203864812850952,0.6332542300224304,,
5,299,,,0.6261184811592102,0.6057139039039612
6,349,0.677433967590332,0.5394235849380493,,
6,349,,,0.7256965637207031,0.5342214703559875
